"x_a","x_b","e_star_a","e_star_b","e_hat_a","e_hat_b","e_a_star","npv_a_star","npv_b_star","npv_a_hat","npv_b_hat","V_star","WTP_A","WTA_B","accept"
0.1,0.1,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,0,-7813.58090693294,-7813.58090693294,-4180.24950788446,-5135.29661849149,1,-4181.24950788446,-5135.29661849149,TRUE
0.1,11.2,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,0.1,-7813.58090693294,-5606.72448180208,-4180.24950788446,-2928.44019336063,1218.00581941594,-5398.2553273004,-2928.44019336063,FALSE
0.1,22.3,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,0.1,-7813.58090693294,-3399.86805667122,-4180.24950788446,-721.583768229773,1390.21388592893,-5570.46339381338,-721.583768229773,FALSE
0.1,33.4,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,0.1,-7813.58090693294,-1193.01163154036,-4180.24950788446,1485.27265690108,1469.74005614072,-5649.98956402517,1485.27265690108,FALSE
0.1,44.5,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,0.1,-7813.58090693294,1013.84479359049,-4180.24950788446,3692.12908203194,1512.90278518175,-5693.15229306621,3692.12908203194,FALSE
0.1,55.6,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,0.1,-7813.58090693294,3220.70121872135,-4180.24950788446,5898.9855071628,1536.33696596522,-5716.58647384968,5898.9855071628,FALSE
0.1,66.7,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,0.1,-7813.58090693294,5427.5576438522,-4180.24950788446,8105.84193229365,1546.31853044831,-5726.56803833276,8105.84193229365,FALSE
0.1,77.8,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,0.1,-7813.58090693294,7634.41406898306,-4180.24950788446,10312.6983574245,1545.74677724034,-5725.9962851248,10312.6983574245,FALSE
0.1,88.9,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,0.1,-7813.58090693294,9841.27049411392,-4180.24950788446,12519.5547825554,1538.1714776577,-5718.42098554215,12519.5547825554,FALSE
0.1,100,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,0.1,-7813.58090693294,12048.1269192448,-4180.24950788446,14726.4112076862,1522.74615957133,-5702.99566745578,14726.4112076862,FALSE
11.2,0.1,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,11.2,-5606.72448180208,-7813.58090693294,-1973.3930827536,-5135.29661849149,1259.49042577173,-3232.88350852533,-5135.29661849149,TRUE
11.2,11.2,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,11.2,-5606.72448180208,-5606.72448180208,-1973.3930827536,-2928.44019336063,1478.32334519945,-3451.71642795305,-2928.44019336063,FALSE
11.2,22.3,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,11.2,-5606.72448180208,-3399.86805667122,-1973.3930827536,-721.583768229773,1575.39609471069,-3548.78917746429,-721.583768229773,FALSE
11.2,33.4,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,11.2,-5606.72448180208,-1193.01163154036,-1973.3930827536,1485.27265690108,1629.0623348415,-3602.4554175951,1485.27265690108,FALSE
11.2,44.5,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,11.2,-5606.72448180208,1013.84479359049,-1973.3930827536,3692.12908203194,1659.29676599647,-3632.68984875007,3692.12908203194,FALSE
11.2,55.6,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,11.2,-5606.72448180208,3220.70121872135,-1973.3930827536,5898.9855071628,1675.40417179475,-3648.79725454835,5898.9855071628,FALSE
11.2,66.7,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,11.2,-5606.72448180208,5427.5576438522,-1973.3930827536,8105.84193229365,1682.08008284774,-3655.47316560134,8105.84193229365,FALSE
