"M_ab","M_ba","D_ab","D_ba","max_accept.x_a","max_accept.x_b","max_accept.e_star_a","max_accept.e_star_b","max_accept.e_hat_a","max_accept.e_hat_b","max_accept.e_a_star","max_accept.npv_a_star","max_accept.npv_b_star","max_accept.npv_a_hat","max_accept.npv_b_hat","max_accept.V_star","max_accept.WTP_A","max_accept.WTA_B","max_accept.accept"
0.1,0.1,0.1,0.1,100,36.9052631578947,45.6140350877193,45.6140350877193,35.8674463937622,35.8674463937622,38.4325202153948,10812.7942435683,-1731.44227822816,12750.5709897275,206.334467931031,2858.75863882476,9891.81235090272,206.334467931031,9685.47788297169
0.1,0.1,0.2,0.1,100,36.9052631578947,45.6140350877193,45.6140350877193,34.1008771929825,35.8674463937622,37.2819120003197,10812.7942435683,-1731.44227822816,13101.7930249688,206.334467931031,2711.3509987749,10390.4420261939,206.334467931031,10184.1075582629
0.1,0.1,0.3,0.1,100,36.9052631578947,45.6140350877193,45.6140350877193,31.8295739348371,35.8674463937622,35.4536487095196,10812.7942435683,-1731.44227822816,13553.3642131363,206.334467931031,2565.73787235011,10987.6263407862,206.334467931031,10781.2918728551
0.1,0.1,0.4,0.1,100,36.9052631578947,45.6140350877193,45.6140350877193,28.8011695906433,35.8674463937622,33.6674098463172,10812.7942435683,-1731.44227822816,14155.4591306929,206.334467931031,2423.66785186339,11731.7912788295,206.334467931031,11525.4568108985
0.1,0.1,0.5,0.1,100,36.9052631578947,45.6140350877193,45.6140350877193,24.5614035087719,35.8674463937622,31.3647384011318,10812.7942435683,-1731.44227822816,14998.3920152721,206.334467931031,2288.5483951968,12709.8436200753,206.334467931031,12503.5091521443
0.1,0.1,0.6,0.1,100,36.9052631578947,45.6140350877193,45.6140350877193,18.2017543859649,35.8674463937622,28.4228111096033,10812.7942435683,-1731.44227822816,16262.791342141,206.334467931031,2165.1572277767,14097.6341143643,206.334467931031,13891.2996464333
0.1,0.1,0.7,0.1,100,36.9052631578947,45.6140350877193,45.6140350877193,7.60233918128657,35.8674463937622,24.7360514544798,10812.7942435683,-1731.44227822816,18370.1235535891,206.334467931031,2062.87469632647,16307.2488572627,206.334467931031,16100.9143893316
0.1,0.1,0.8,0.1,100,36.9052631578947,45.6140350877193,45.6140350877193,-13.5964912280702,35.8674463937622,19.7160821873859,10812.7942435683,-1731.44227822816,22584.7879764854,206.334467931031,1995.74920100687,20589.0387754785,206.334467931031,20382.7043075475
0.1,0.1,0.9,0.1,100,36.9052631578947,45.6140350877193,45.6140350877193,-77.1929824561403,35.8674463937622,15.5572054309259,10812.7942435683,-1731.44227822816,35228.7812451741,206.334467931031,1971.34427482952,33257.4369703446,206.334467931031,33051.1025024135
0.2,0.1,0.1,0.1,100,36.9052631578947,45.6140350877193,45.6140350877193,26.6081871345029,35.8674463937622,30.773405726877,10812.7942435683,-1731.44227822816,14591.4588985787,206.334467931031,2509.53017315454,12081.9287254242,206.334467931031,11875.5942574931
0.2,0.1,0.2,0.1,100,36.9052631578947,45.6140350877193,45.6140350877193,23.6842105263158,35.8674463937622,28.8824178495806,10812.7942435683,-1731.44227822816,15172.7919224265,206.334467931031,2381.10889876683,12791.6830236596,206.334467931031,12585.3485557286
0.2,0.1,0.3,0.1,100,36.9052631578947,45.6140350877193,45.6140350877193,19.9248120300752,35.8674463937622,26.6240317402392,10812.7942435683,-1731.44227822816,15920.220095945,206.334467931031,2261.26097048223,13658.9591254628,206.334467931031,13452.6246575317
0.2,0.1,0.4,0.1,100,36.9052631578947,45.6140350877193,45.6140350877193,14.9122807017544,35.8674463937622,23.8979510213667,10812.7942435683,-1731.44227822816,16916.7909939697,206.334467931031,2154.00201504429,14762.7889789254,206.334467931031,14556.4545109944
0.2,0.1,0.5,0.1,100,36.9052631578947,45.6140350877193,45.6140350877193,7.89473684210528,35.8674463937622,20.5151711044611,10812.7942435683,-1731.44227822816,18311.9902512044,206.334467931031,2064.84074589749,16247.1495053069,206.334467931031,16040.8150373758
0.2,0.1,0.6,0.1,100,36.9052631578947,45.6140350877193,45.6140350877193,-2.6315789473684,35.8674463937622,16.5748934394008,10812.7942435683,-1731.44227822816,20404.7891370563,206.334467931031,2002.74179899783,18402.0473380584,206.334467931031,18195.7128701274
0.2,0.1,0.7,0.1,100,36.9052631578947,45.6140350877193,45.6140350877193,-20.1754385964912,35.8674463937622,12.7296460546614,10812.7942435683,-1731.44227822816,23892.7872801428,206.334467931031,1973.06312162581,21919.724158517,206.334467931031,21713.389690586
0.2,0.1,0.8,0.1,100,36.9052631578947,45.6140350877193,45.6140350877193,-55.2631578947368,35.8674463937622,10.9837107576722,10812.7942435683,-1731.44227822816,30868.7835663159,206.334467931031,1965.51852377518,28903.2650425407,206.334467931031,28696.9305746097
0.2,0.1,0.9,0.1,100,36.9052631578947,45.6140350877193,45.6140350877193,-160.526315789474,35.8674463937622,5.8934380273658,10812.7942435683,-1731.44227822816,51796.7724248352,206.334467931031,1961.80750757883,49834.9649172564,206.334467931031,49628.6304493253
0.3,0.1,0.1,0.1,100,36.9052631578947,45.6140350877193,45.6140350877193,17.3489278752437,35.8674463937622,23.505181697417,10812.7942435683,-1731.44227822816,16432.3468074299,206.334467931031,2248.3417638679,14184.005043562,206.334467931031,13977.670575631
0.3,0.1,0.2,0.1,100,36.9052631578947,45.6140350877193,45.6140350877193,13.2675438596491,35.8674463937622,20.9982423531585,10812.7942435683,-1731.44227822816,17243.7908198841,206.334467931031,2151.16164394566,15092.6291759384,206.334467931031,14886.2947080074
0.3,0.1,0.3,0.1,100,36.9052631578947,45.6140350877193,45.6140350877193,8.02005012531328,35.8674463937622,18.059892947792,10812.7942435683,-1731.44227822816,18287.0759787537,206.334467931031,2069.80182632195,16217.2741524318,206.334467931031,16010.9396845008
0.3,0.1,0.4,0.1,100,36.9052631578947,45.6140350877193,45.6140350877193,1.02339181286549,35.8674463937622,14.8271231381808,10812.7942435683,-1731.44227822816,19678.1228572466,206.334467931031,2010.40948990626,17667.7133673403,206.334467931031,17461.3788994093
