"M_ab","M_ba","D_ab","D_ba","max_accept.x_a","max_accept.x_b","max_accept.e_star_a","max_accept.e_star_b","max_accept.e_hat_a","max_accept.e_hat_b","max_accept.e_a_star","max_accept.npv_a_star","max_accept.npv_b_star","max_accept.npv_a_hat","max_accept.npv_b_hat","max_accept.V_star","max_accept.WTP_A","max_accept.WTA_B","max_accept.accept"
0.1,0.1,0.1,0.1,100,36.9052631578947,45.6140350877193,45.6140350877193,35.8674463937622,35.8674463937622,38.4325202153948,10812.7942435683,-1731.44227822816,12750.5709897275,206.334467931031,2858.75863882476,9891.81235090272,206.334467931031,9685.47788297169
0.1,0.1,0.1,0.2,100,36.9052631578947,45.6140350877193,45.6140350877193,35.8674463937622,34.1008771929825,37.9749943441844,10812.7942435683,-1731.44227822816,12750.5709897275,557.556503172384,2944.87534622479,9805.69564350269,557.556503172384,9248.13914033031
0.1,0.1,0.1,0.3,100,36.9052631578947,45.6140350877193,45.6140350877193,35.8674463937622,31.8295739348371,37.4799434134115,10812.7942435683,-1731.44227822816,12750.5709897275,1009.12769133984,3045.76038223989,9704.81060748759,1009.12769133984,8695.68291614775
0.1,0.1,0.1,0.4,100,31.6473684210526,45.6140350877193,45.6140350877193,35.8674463937622,28.8011695906433,38.4760924153765,10812.7942435683,-2776.7953217112,12750.5709897275,565.869565413406,3145.42940468933,9605.14158503815,565.869565413406,9039.27201962474
0.1,0.1,0.1,0.5,100,26.3894736842105,45.6140350877193,45.6140350877193,35.8674463937622,24.5614035087719,39.6205608184516,10812.7942435683,-3822.14836519423,12750.5709897275,363.449406509616,3256.63617269973,9493.93481702774,363.449406509616,9130.48541051813
0.1,0.1,0.1,0.6,100,21.1315789473684,45.6140350877193,45.6140350877193,35.8674463937622,18.2017543859649,41.7294555552047,10812.7942435683,-4867.50140867727,12750.5709897275,582.49568989545,3369.19291807586,9381.37807165162,582.49568989545,8798.88238175617
0.1,0.1,0.1,0.7,100,10.6157894736842,45.6140350877193,45.6140350877193,35.8674463937622,7.60233918128657,47.1968927959893,10812.7942435683,-6958.20749564335,12750.5709897275,599.121814377496,3386.20581725267,9364.36517247481,599.121814377496,8765.24335809731
0.1,0.1,0.1,0.8,100,0.1,45.6140350877193,45.6140350877193,35.8674463937622,-13.5964912280702,53.8158369129727,10812.7942435683,-9048.91358260942,12750.5709897275,2723.08015030766,3278.01817495396,9472.55281477352,2723.08015030766,6749.47266446586
0.1,0.1,0.1,0.9,100,0.1,45.6140350877193,45.6140350877193,35.8674463937622,-77.1929824561403,55.1519701889523,10812.7942435683,-9048.91358260942,12750.5709897275,15367.0734189964,3354.07257730186,9396.49841242562,15367.0734189964,-5970.57500657076
0.1,0.2,0.1,0.1,100,31.6473684210526,45.6140350877193,45.6140350877193,35.8674463937622,26.6081871345029,41.7704723386934,10812.7942435683,-2776.7953217112,12750.5709897275,1001.86933329922,3517.19482389282,9233.37616583466,1001.86933329922,8231.50683253544
0.1,0.2,0.1,0.2,100,26.3894736842105,45.6140350877193,45.6140350877193,35.8674463937622,23.6842105263158,43.6064704986212,10812.7942435683,-3822.14836519423,12750.5709897275,537.849313663943,3565.92618429001,9184.64480543747,537.849313663943,8646.79549177352
0.1,0.2,0.1,0.3,100,21.1315789473684,45.6140350877193,45.6140350877193,35.8674463937622,19.9248120300752,45.2840330519451,10812.7942435683,-4867.50140867727,12750.5709897275,239.924443699452,3601.96358655211,9148.60740317537,239.924443699452,8908.68295947591
0.1,0.2,0.1,0.4,100,15.8736842105263,45.6140350877193,45.6140350877193,35.8674463937622,14.9122807017544,47.5574910959074,10812.7942435683,-5912.85445216031,12750.5709897275,191.142298241141,3616.36118202997,9134.20980769751,191.142298241141,8943.06750945637
0.1,0.2,0.1,0.5,100,10.6157894736842,45.6140350877193,45.6140350877193,35.8674463937622,7.89473684210528,50.3391801647031,10812.7942435683,-6958.20749564335,12750.5709897275,540.98851199272,3596.62888108505,9153.94210864243,540.98851199272,8612.95359664971
0.1,0.2,0.1,0.6,100,0.1,45.6140350877193,45.6140350877193,35.8674463937622,-2.6315789473684,55.465862269362,10812.7942435683,-9048.91358260942,12750.5709897275,543.081310878571,3393.84733670707,9356.72365302041,543.081310878571,8813.64234214183
0.1,0.2,0.1,0.7,100,0.1,45.6140350877193,45.6140350877193,35.8674463937622,-20.1754385964912,55.9717871078389,10812.7942435683,-9048.91358260942,12750.5709897275,4031.07945396512,3419.257891067,9331.31309866047,4031.07945396512,5300.23364469536
0.1,0.2,0.1,0.8,100,0.1,45.6140350877193,45.6140350877193,35.8674463937622,-55.2631578947368,56.1956720600932,10812.7942435683,-9048.91358260942,12750.5709897275,11007.0757401382,3420.04350585019,9330.52748387729,11007.0757401382,-1676.54825626091
